Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
175499,000001D2,false,Rx,0,5,E1,0C,8F,1D,F0,00,00,00,
376229,000001D2,false,Rx,0,5,E1,0C,8F,2D,F0,00,00,00,
575943,000001D2,false,Rx,0,5,E1,0C,8F,3D,F0,00,00,00,
776146,000001D2,false,Rx,0,5,E1,0C,8F,4D,F0,00,00,00,
975998,000001D2,false,Rx,0,5,E1,0C,8F,5D,F0,00,00,00,
1176545,000001D2,false,Rx,0,5,E1,0C,8F,6D,F0,00,00,00,
1376033,000001D2,false,Rx,0,5,E1,0C,8F,7D,F0,00,00,00,
1576264,000001D2,false,Rx,0,5,E1,0C,8F,8D,F0,00,00,00,
1776240,000001D2,false,Rx,0,5,E1,0C,8F,9D,F0,00,00,00,
1976237,000001D2,false,Rx,0,5,E1,0C,8F,AD,F0,00,00,00,
2176021,000001D2,false,Rx,0,5,E1,0C,8F,BD,F0,00,00,00,
2376648,000001D2,false,Rx,0,5,E1,0C,8F,CD,F0,00,00,00,
2575882,000001D2,false,Rx,0,5,E1,0C,8F,DD,F0,00,00,00,
2775573,000001D2,false,Rx,0,5,E1,0C,8F,ED,F0,00,00,00,
2975846,000001D2,false,Rx,0,5,E1,0C,8F,0D,F0,00,00,00,
3175480,000001D2,false,Rx,0,5,E1,0C,8F,1D,F0,00,00,00,
3375570,000001D2,false,Rx,0,5,E1,0C,8F,2D,F0,00,00,00,
3576454,000001D2,false,Rx,0,5,E1,0C,8F,3D,F0,00,00,00,
3775976,000001D2,false,Rx,0,5,E1,0C,8F,4D,F0,00,00,00,
3975607,000001D2,false,Rx,0,5,E1,0C,8F,5D,F0,00,00,00,
4175461,000001D2,false,Rx,0,5,E1,0C,8F,6D,F0,00,00,00,
4375547,000001D2,false,Rx,0,5,E1,0C,8F,7D,F0,00,00,00,
4575592,000001D2,false,Rx,0,5,E1,0C,8F,8D,F0,00,00,00,
4776538,000001D2,false,Rx,0,5,E1,0C,8F,9D,F0,00,00,00,
4976473,000001D2,false,Rx,0,5,E1,0C,8F,AD,F0,00,00,00,
5176269,000001D2,false,Rx,0,5,E1,0C,8F,BD,F0,00,00,00,
5376852,000001D2,false,Rx,0,5,E1,0C,8F,CD,F0,00,00,00,
5576449,000001D2,false,Rx,0,5,E1,0C,8F,DD,F0,00,00,00,
5776439,000001D2,false,Rx,0,5,E1,0C,8F,ED,F0,00,00,00,
5976381,000001D2,false,Rx,0,5,E1,0C,8F,0D,F0,00,00,00,
6175418,000001D2,false,Rx,0,5,E1,0C,8F,1D,F0,00,00,00,
6375585,000001D2,false,Rx,0,5,E1,0C,8F,2D,F0,00,00,00,
6575552,000001D2,false,Rx,0,5,E1,0C,8F,3D,F0,00,00,00,
6776401,000001D2,false,Rx,0,5,E1,0C,8F,4D,F0,00,00,00,
6975564,000001D2,false,Rx,0,5,E1,0C,8F,5D,F0,00,00,00,
7176590,000001D2,false,Rx,0,5,E1,0C,8F,6D,F0,00,00,00,
7376355,000001D2,false,Rx,0,5,E1,0C,8F,7D,F0,00,00,00,
7576557,000001D2,false,Rx,0,5,E1,0C,8F,8D,F0,00,00,00,
7775540,000001D2,false,Rx,0,5,E1,0C,8F,9D,F0,00,00,00,
7976425,000001D2,false,Rx,0,5,E1,0C,8F,AD,F0,00,00,00,
8175856,000001D2,false,Rx,0,5,E1,0C,8F,BD,F0,00,00,00,
8376117,000001D2,false,Rx,0,5,E1,0C,8F,CD,F0,00,00,00,
8576372,000001D2,false,Rx,0,5,E1,0C,8F,DD,F0,00,00,00,
8776313,000001D2,false,Rx,0,5,E1,0C,8F,ED,F0,00,00,00,
8975677,000001D2,false,Rx,0,5,E1,0C,8F,0D,F0,00,00,00,
9176545,000001D2,false,Rx,0,5,E1,0C,8F,1D,F0,00,00,00,
9376339,000001D2,false,Rx,0,5,E1,0C,8F,2D,F0,00,00,00,
9576175,000001D2,false,Rx,0,5,E1,0C,8F,3D,F0,00,00,00,
9776151,000001D2,false,Rx,0,5,E1,0C,8F,4D,F0,00,00,00,
9976367,000001D2,false,Rx,0,5,E1,0C,8F,5D,F0,00,00,00,
10175708,000001D2,false,Rx,0,5,E1,0C,8F,6D,F0,00,00,00,
10376370,000001D2,false,Rx,0,5,E1,0C,8F,7D,F0,00,00,00,
10576358,000001D2,false,Rx,0,5,E1,0C,8F,8D,F0,00,00,00,
10776101,000001D2,false,Rx,0,5,E1,0C,8F,9D,F0,00,00,00,
10976443,000001D2,false,Rx,0,5,E1,0C,8F,AD,F0,00,00,00,
11176326,000001D2,false,Rx,0,5,E1,0C,8F,BD,F0,00,00,00,
11376380,000001D2,false,Rx,0,5,E1,0C,8F,CD,F0,00,00,00,
11576400,000001D2,false,Rx,0,5,E1,0C,8F,DD,F0,00,00,00,
11776755,000001D2,false,Rx,0,5,E1,0C,8F,ED,F0,00,00,00,
11976245,000001D2,false,Rx,0,5,E1,0C,8F,0D,F0,00,00,00,
12176676,000001D2,false,Rx,0,5,E1,0C,8F,1D,F0,00,00,00,
12376363,000001D2,false,Rx,0,5,E1,0C,8F,2D,F0,00,00,00,
12576336,000001D2,false,Rx,0,5,E1,0C,8F,3D,F0,00,00,00,
12776075,000001D2,false,Rx,0,5,E1,0C,8F,4D,F0,00,00,00,
12976075,000001D2,false,Rx,0,5,E1,0C,8F,5D,F0,00,00,00,
13176847,000001D2,false,Rx,0,5,E1,0C,8F,6D,F0,00,00,00,
13376176,000001D2,false,Rx,0,5,E1,0C,8F,7D,F0,00,00,00,
13576364,000001D2,false,Rx,0,5,E1,0C,8F,8D,F0,00,00,00,
13776146,000001D2,false,Rx,0,5,E1,0C,8F,9D,F0,00,00,00,
13976212,000001D2,false,Rx,0,5,E1,0C,8F,AD,F0,00,00,00,
14176582,000001D2,false,Rx,0,5,E1,0C,8F,BD,F0,00,00,00,
14376299,000001D2,false,Rx,0,5,E1,0C,8F,CD,F0,00,00,00,
14576360,000001D2,false,Rx,0,5,E1,0C,8F,DD,F0,00,00,00,
14776101,000001D2,false,Rx,0,5,E1,0C,8F,ED,F0,00,00,00,
14976319,000001D2,false,Rx,0,5,E1,0C,8F,0D,F0,00,00,00,
15176554,000001D2,false,Rx,0,5,E1,0C,8F,1D,F0,00,00,00,
15376128,000001D2,false,Rx,0,5,E1,0C,8F,2D,F0,00,00,00,
15576463,000001D2,false,Rx,0,5,E1,0C,8F,3D,F0,00,00,00,
15776117,000001D2,false,Rx,0,5,E1,0C,8F,4D,F0,00,00,00,
15976478,000001D2,false,Rx,0,5,E1,0C,8F,5D,F0,00,00,00,
16176475,000001D2,false,Rx,0,5,E1,0C,8F,6D,F0,00,00,00,
16376024,000001D2,false,Rx,0,5,E1,0C,8F,7D,F0,00,00,00,
16576086,000001D2,false,Rx,0,5,E1,0C,8F,8D,F0,00,00,00,
16776476,000001D2,false,Rx,0,5,E1,0C,8F,9D,F0,00,00,00,
16976292,000001D2,false,Rx,0,5,E1,0C,8F,AD,F0,00,00,00,
17177042,000001D2,false,Rx,0,5,E1,0C,8F,BD,F0,00,00,00,
17376528,000001D2,false,Rx,0,5,E1,0C,8F,CD,F0,00,00,00,
17576326,000001D2,false,Rx,0,5,E1,0C,8F,DD,F0,00,00,00,
17776791,000001D2,false,Rx,0,5,E1,0C,8F,ED,F0,00,00,00,
17976601,000001D2,false,Rx,0,5,E1,0C,8F,0D,F0,00,00,00,
18176520,000001D2,false,Rx,0,5,E1,0C,8F,1D,F0,00,00,00,
18376293,000001D2,false,Rx,0,5,E1,0C,8F,2D,F0,00,00,00,
18576570,000001D2,false,Rx,0,5,E1,0C,8F,3D,F0,00,00,00,
18776057,000001D2,false,Rx,0,5,E1,0C,8F,4D,F0,00,00,00,
18976223,000001D2,false,Rx,0,5,E1,0C,8F,5D,F0,00,00,00,
19176601,000001D2,false,Rx,0,5,E1,0C,8F,6D,F0,00,00,00,
19376995,000001D2,false,Rx,0,5,E1,0C,8F,7D,F0,00,00,00,
19576252,000001D2,false,Rx,0,5,E1,0C,8F,8D,F0,00,00,00,
19776303,000001D2,false,Rx,0,5,E1,0C,8F,9D,F0,00,00,00,
19976337,000001D2,false,Rx,0,5,E1,0C,8F,AD,F0,00,00,00,
20176335,000001D2,false,Rx,0,5,E1,0C,8F,BD,F0,00,00,00,
20376712,000001D2,false,Rx,0,5,E1,0C,8F,CD,F0,00,00,00,
20576329,000001D2,false,Rx,0,5,E1,0C,8F,DD,F0,00,00,00,
20776302,000001D2,false,Rx,0,5,E1,0C,8F,ED,F0,00,00,00,
20977126,000001D2,false,Rx,0,5,E1,0C,8F,0D,F0,00,00,00,
21176670,000001D2,false,Rx,0,5,E1,0C,8F,1D,F0,00,00,00,
21376597,000001D2,false,Rx,0,5,E1,0C,8F,2D,F0,00,00,00,
21576475,000001D2,false,Rx,0,5,E1,0C,8F,3D,F0,00,00,00,
21776642,000001D2,false,Rx,0,5,E1,0C,8F,4D,F0,00,00,00,
21976418,000001D2,false,Rx,0,5,E1,0C,8F,5D,F0,00,00,00,
22176374,000001D2,false,Rx,0,5,E1,0C,8F,6D,F0,00,00,00,
22376755,000001D2,false,Rx,0,5,E1,0C,8F,7D,F0,00,00,00,
22576871,000001D2,false,Rx,0,5,E1,0C,8F,8D,F0,00,00,00,
22776840,000001D2,false,Rx,0,5,E1,0C,8F,9D,F0,00,00,00,
22976713,000001D2,false,Rx,0,5,E1,0C,8F,AD,F0,00,00,00,
23176369,000001D2,false,Rx,0,5,E1,0C,8F,BD,F0,00,00,00,
